oracle Database name       :  FSPRD
Oracle SID                 :  FSPRD3
Archive Execution-From Date:  01-May-2023
Archive Execution-To Date  :  01-Mar-2024
Archive Year               :  1995_2000
Archive Environment        :  FS
 
=> Batch Numbers check.

107 rows created.


Commit complete.

=> NLS DataBase Parameters Check.

3 rows created.


Commit complete.

=> TimeZone Check.

105 13 10 ARPO_XX PO_EXTRACT_XX_H
106 13 11 ARPO_XX PO_KEY_DTA_XX_H
107 14 0 ARPYMT AR_820RMNF_XX_H
108 14 1 ARPYMT AR_820RMSG_XX_H
109 14 2 ARPYMT AR_DEP_CONTRL_H
110 14 3 ARPYMT AR_EE_DJR_ACT_H
111 14 4 ARPYMT AR_PAYMENT_H
112 14 5 ARPYMT AR_PAY_ID_CUS_H
113 14 6 ARPYMT AR_PAY_ID_ITM_H
114 14 7 ARPYMT AR_PAY_ITEM_H
115 14 8 ARPYMT AR_PAY_IT_MRL_H
116 14 9 ARPYMT AR_PAY_MIS_DS_H
117 15 0 ARRAR_XX AR_FORMRAR_XX_H
118 15 1 ARRAR_XX AR_FRMRAR1_XX_H
119 15 2 ARRAR_XX AR_FRMRARB_XX_H
120 16 0 ARSTMT AR_STMT_CUSBD_H
121 16 1 ARSTMT AR_STMT_CUSDT_H
122 16 2 ARSTMT AR_STMT_CUST_H
123 16 3 ARSTMT AR_STMT_CUS_H
124 17 0 ARTAR_XX AR_FORMTAR_XX_H
125 17 1 ARTAR_XX AR_FRMTAR1_XX_H
126 18 0 ARXRF_XX AR_FRMXREF_XX_H
127 19 0 BIADJXX BIADJHSTX_H_XX
128 20 0 BICANXX BIALLTAXX_H_XX
129 20 1 BICANXX BIHDRAR_H_XX
130 20 2 BICANXX BIHDRCRCARD_HXX
131 20 3 BICANXX BIHDRNOTE_H_XX
132 20 4 BICANXX BIHDRVAT_H_XX
133 20 5 BICANXX BIHDRX_H_XX
134 20 6 BICANXX BIHDR_H_XX
135 20 7 BICANXX BILINEX_H_XX
136 20 8 BICANXX BILINE_H_XX
137 20 9 BICANXX BILNDSDFR_H_XX
138 20 10 BICANXX BILNDSDTLX_H_XX
139 20 11 BICANXX BILNDSDTL_H_XX
140 20 12 BICANXX BILNDSLVL_H_XX
141 20 13 BICANXX BILNDSTAR_H_XX
142 20 14 BICANXX BILNDSTDFR_H_XX
143 20 15 BICANXX BILNDSTUAR_H_XX
144 20 16 BICANXX BILNDST_H_XX
145 20 17 BICANXX BILNIUEXP_H_XX
146 20 18 BICANXX BILNIUPAY_H_XX
147 20 19 BICANXX BILNNOTE_H_XX
148 20 20 BICANXX BILNTAXDTL_H_XX
149 20 21 BICANXX BILNTAX_H_XX
150 20 22 BICANXX BIX24DSTMPX_HXX
151 20 23 BICANXX VMSACCTLNX_H_XX
152 21 0 BICBINXX BICBIVCHDR_H_XX
153 21 1 BICBINXX BICBIVCLIN_H_XX
154 21 2 BICBINXX BIEXTCIIDS_H_XX
155 22 0 BIEIDXX EIDFILEINVX_HXX
156 23 0 BIINFXX INTFCBICMP_H_XX
157 23 1 BIINFXX INTFCBINTCMPHXX
158 24 0 BIINVXX BIACCTENTRY_HXX
159 24 1 BIINVXX BIALLTAXX_H_XX
160 24 2 BIINVXX BIHDRAR_H_XX
161 24 3 BIINVXX BIHDRCRCARD_HXX
162 24 4 BIINVXX BIHDRNOTE_H_XX
163 24 5 BIINVXX BIHDRVAT_H_XX
164 24 6 BIINVXX BIHDRX_H_XX
165 24 7 BIINVXX BIHDR_H_XX
166 24 8 BIINVXX BILINEX_H_XX
167 24 9 BIINVXX BILINE_H_XX
168 24 10 BIINVXX BILNDSDFR_H_XX
169 24 11 BIINVXX BILNDSDTLX_H_XX
170 24 12 BIINVXX BILNDSDTL_H_XX
171 24 13 BIINVXX BILNDSLVL_H_XX
172 24 14 BIINVXX BILNDSTAR_H_XX
173 24 15 BIINVXX BILNDSTDFR_H_XX
174 24 16 BIINVXX BILNDSTUAR_H_XX
175 24 17 BIINVXX BILNDST_H_XX
176 24 18 BIINVXX BILNIUEXP_H_XX
177 24 19 BIINVXX BILNIUPAY_H_XX
178 24 20 BIINVXX BILNNOTE_H_XX
179 24 21 BIINVXX BILNTAXDTL_H_XX
180 24 22 BIINVXX BILNTAX_H_XX
181 24 23 BIINVXX BIX24DSTMPX_HXX
182 24 24 BIINVXX VMSACCTLNX_H_XX
183 25 0 BINFADXX INTFCBIADCMPHXX
184 26 0 BIPCIXX BIPCITRCKX_H_XX
185 27 0 BIRELXX BIRELCMPX_H_XX
186 28 0 CA_001 BI_HDR_TMP_XX_H
187 28 1 CA_001 BI_LN_TMP_XX_H
188 28 2 CA_001 CA_ACCTG_LINE_H
189 28 3 CA_001 CA_ACCTG_LN_P_H
190 28 4 CA_001 CA_ACCTG_LN_T_H
191 28 5 CA_001 CA_ACCTPLAN_H
192 28 6 CA_001 CA_ACCTPLN_LA_H
193 28 7 CA_001 CA_AP_DFR_H
194 28 8 CA_001 CA_AP_DST_H
195 28 9 CA_001 CA_AP_EVENT_D_H
196 28 10 CA_001 CA_AP_EVENT_H
197 28 11 CA_001 CA_AP_EVT_CHG_H
198 28 12 CA_001 CA_AP_FEE_ADJ_H
199 28 13 CA_001 CA_AP_FEE_WS_H
200 28 14 CA_001 CA_AP_PC_DFR_H
201 28 15 CA_001 CA_AP_PC_DST_H
202 28 16 CA_001 CA_AP_PC_UAR_H
203 28 17 CA_001 CA_AP_SCHEDUL_H
204 28 18 CA_001 CA_AP_TXN_DST_H
205 28 19 CA_001 CA_AP_TXN_UAR_H
206 28 20 CA_001 CA_AP_UAR_H
207 28 21 CA_001 CA_ATTACHMENT_H
208 28 22 CA_001 CA_BILLPLN_LA_H
209 28 23 CA_001 CA_BILL_PLAN_H
210 28 24 CA_001 CA_BIL_PLN_XX_H
211 28 25 CA_001 CA_BONUS_PENL_H
212 28 26 CA_001 CA_BP_CDATAXX_H
213 28 27 CA_001 CA_BP_EVENTS_H
214 28 28 CA_001 CA_BP_EVT_CHG_H
215 28 29 CA_001 CA_BP_EVT_LN_H
216 28 30 CA_001 CA_BP_EV_AMXX_H
217 28 31 CA_001 CA_BP_FEE_ADJ_H
218 28 32 CA_001 CA_BP_FEE_WS_H
219 28 33 CA_001 CA_BP_LINES_H
220 28 34 CA_001 CA_BP_NOTE_H
221 28 35 CA_001 CA_BP_SCHEDUL_H
222 28 36 CA_001 CA_BP_XREF_H
223 28 37 CA_001 CA_CHG_DTL_H
224 28 38 CA_001 CA_CHG_HDR_H
225 28 39 CA_001 CA_CONTR_HDR_H
226 28 40 CA_001 CA_DETAIL_APP_H
227 28 41 CA_001 CA_DETAIL_DC_H
228 28 42 CA_001 CA_DETAIL_DFR_H
229 28 43 CA_001 CA_DETAIL_DST_H
230 28 44 CA_001 CA_DETAIL_H
231 28 45 CA_001 CA_DETAIL_LAN_H
232 28 46 CA_001 CA_DETAIL_PRI_H
233 28 47 CA_001 CA_DETAIL_PRO_H
234 28 48 CA_001 CA_DETAIL_RED_H
235 28 49 CA_001 CA_DETAIL_UAR_H
236 28 50 CA_001 CA_DST_ERR_H
237 28 51 CA_001 CA_DTL_DST_DA_H
238 28 52 CA_001 CA_DTL_RED_DA_H
239 28 53 CA_001 CA_EARLY_OPTI_H
240 28 54 CA_001 CA_EMAIL_CON2_H
241 28 55 CA_001 CA_EMAIL_CONT_H
242 28 56 CA_001 CA_FC_MAIN_H
243 28 57 CA_001 CA_FC_STG_RUN_H
244 28 58 CA_001 CA_HDREV_RED_H
245 28 59 CA_001 CA_HDRRED_LAN_H
246 28 60 CA_001 CA_HDR_AE_ACC_H
247 28 61 CA_001 CA_HDR_COMM_H
248 28 62 CA_001 CA_HDR_DC_H
249 28 63 CA_001 CA_HDR_REDUCT_H
250 28 64 CA_001 CA_HREVRED_LG_H
251 28 65 CA_001 CA_INVTRKH_XX_H
252 28 66 CA_001 CA_INVTRKL_XX_H
253 28 67 CA_001 CA_IVC_PRT_XX_H
254 28 68 CA_001 CA_LMT_FEE_DT_H
255 28 69 CA_001 CA_LMT_TXN_H
256 28 70 CA_001 CA_LMT_TXN_LG_H
257 28 71 CA_001 CA_LNRED_LANG_H
258 28 72 CA_001 CA_LNREV_RED_H
259 28 73 CA_001 CA_LN_REDUCTS_H
260 28 74 CA_001 CA_LREVRED_LG_H
261 28 75 CA_001 CA_MILESTONE_H
262 28 76 CA_001 CA_MS_COND_H
263 28 77 CA_001 CA_NOTE_DETAI_H
264 28 78 CA_001 CA_NOTE_H
265 28 79 CA_001 CA_NOTE_TRANS_H
266 28 80 CA_001 CA_OPP_TYP_XX_H
267 28 81 CA_001 CA_OPRID_CONT_H
268 28 82 CA_001 CA_PGP_COSTS_H
269 28 83 CA_001 CA_PGP_PROJ_H
270 28 84 CA_001 CA_PGP_TERMS_H
271 28 85 CA_001 CA_PGP_WKS_H
272 28 86 CA_001 CA_PREPAID_AU_H
273 28 87 CA_001 CA_PREPAID_PR_H
274 28 88 CA_001 CA_PREPAID_TB_H
275 28 89 CA_001 CA_PROJ_SUMMA_H
276 28 90 CA_001 CA_RATE_H
277 28 91 CA_001 CA_RECON_BI_H
278 28 92 CA_001 CA_RECON_REV_H
279 28 93 CA_001 CA_RECON_SUM_H
280 28 94 CA_001 CA_RNWLNRE_LG_H
281 28 95 CA_001 CA_RNWLNRR_LG_H
282 28 96 CA_001 CA_RNW_APPLIE_H
283 28 97 CA_001 CA_RNW_LN_LIN_H
284 28 98 CA_001 CA_RNW_LN_RDS_H
285 28 99 CA_001 CA_RNW_LN_RED_H
286 28 100 CA_001 CA_SUPPORT_TE_H
287 28 101 CA_001 CA_WTH_RELEAS_H
288 28 102 CA_001 CA_WTH_REL_LA_H
289 28 103 CA_001 CA_WTH_TERMS_H
290 28 104 CA_001 CA_WTH_TRM_LA_H
