oracle Database name       :  HRPRD
104 48 0 GPARC4XX GP_PYESOVR_HXX
105 49 0 GPARC5XX GPPOS_INSTGXX_H
106 49 1 GPARC5XX GPX0003_STGXX_H
107 50 0 GPARC6XX GP_PIMNLDTA_HXX
108 50 1 GPARC6XX GP_PIMNSOVR_HXX
109 51 0 GPARC7XX GP_SEGTRGR_HXX
110 52 0 HRCAN_XX CAN_YE_DETIL_H
111 52 1 HRCAN_XX CAN_YE_EMPL_H
112 52 2 HRCAN_XX CAN_YE_SLIP_H
113 52 3 HRCAN_XX CN_YE_AMND_E_H
114 53 0 HRFL_XX FINAL_HRS0_H_XX
115 53 1 HRFL_XX FINAL_HRS1_H_XX
116 53 2 HRFL_XX FINAL_HRS2_H_XX
117 53 3 HRFL_XX FINAL_HRS3_H_XX
118 54 0 HRSE1_XX SM_OB_DFXRF_HXX
119 55 0 HRSE2_XX SM_DF_DCINT_HXX
120 55 1 HRSE2_XX SM_DF_STINT_HXX
121 56 0 HRSE_XX SM_OBADLINF_HXX
122 56 1 HRSE_XX SM_OBADLPY_HXX
123 56 2 HRSE_XX SM_OBCTAX_P_HXX
124 56 3 HRSE_XX SM_OBC_SFID_HXX
125 56 4 HRSE_XX SM_OBEM_NAM_HXX
126 56 5 HRSE_XX SM_OBEM_PHN_HXX
127 56 6 HRSE_XX SM_OBINVADR_HXX
128 56 7 HRSE_XX SM_OBINVEML_HXX
129 56 8 HRSE_XX SM_OBINVHDR_HXX
130 56 9 HRSE_XX SM_OBINVPHN_HXX
131 56 10 HRSE_XX SM_OBPYOPTN_HXX
132 56 11 HRSE_XX SM_OBSLF_ID_HXX
133 56 12 HRSE_XX SM_OBUPDHR_HXX
134 56 13 HRSE_XX SM_OBVSLFID_HXX
135 56 14 HRSE_XX SM_OB_ADRES_HXX
136 56 15 HRSE_XX SM_OB_BONUS_HXX
137 56 16 HRSE_XX SM_OB_CC305_HXX
138 56 17 HRSE_XX SM_OB_C_BNR_HXX
139 56 18 HRSE_XX SM_OB_C_TAX_HXX
140 56 19 HRSE_XX SM_OB_DRDPD_HXX
141 56 20 HRSE_XX SM_OB_EMAIL_HXX
142 56 21 HRSE_XX SM_OB_EMCNT_HXX
143 56 22 HRSE_XX SM_OB_NAME_HXX
144 56 23 HRSE_XX SM_OB_PERSN_HXX
145 56 24 HRSE_XX SM_OB_PHONE_HXX
146 56 25 HRSE_XX SM_OB_TLICS_HXX
147 56 26 HRSE_XX SM_OB_W4FTX_HXX
148 56 27 HRSE_XX SM_OB_W_REC_HXX
149 57 0 NGDED_XX GENL_DEDUCTIN_H
150 58 0 NPAY1_XX DOL_PAY_AD_H_XX
151 59 0 N_PAY_XX PAY_CHECK_H
152 59 1 N_PAY_XX PAY_CHKREN_H_XX
153 59 2 N_PAY_XX PAY_CTX_OVRD_H
154 59 3 N_PAY_XX PAY_DEDUCTION_H
155 59 4 N_PAY_XX PAY_DISTRIBTN_H
156 59 5 N_PAY_XX PAY_EARNINGS_H
157 59 6 N_PAY_XX PAY_EXP_DT_H_XX
158 59 7 N_PAY_XX PAY_GARNISH_H
159 59 8 N_PAY_XX PAY_GARN_OVRD_H
160 59 9 N_PAY_XX PAY_INS_EARNS_H
161 59 10 N_PAY_XX PAY_LINE_H
162 59 11 N_PAY_XX PAY_ONE_TIME_H
163 59 12 N_PAY_XX PAY_OTH_EARNS_H
164 59 13 N_PAY_XX PAY_PAGE_H
165 59 14 N_PAY_XX PAY_SPCL_EARN_H
166 59 15 N_PAY_XX PAY_TAX_CAN_H
167 59 16 N_PAY_XX PAY_TAX_GRSDE_H
168 59 17 N_PAY_XX PAY_TAX_H
169 59 18 N_PAY_XX PAY_TAX_OVRD_H
170 59 19 N_PAY_XX PAY_TM_EXP_H_XX
171 59 20 N_PAY_XX PYADV_SENT_H_XX
172 59 21 N_PAY_XX PYCHECK_HS_H_XX
173 59 22 N_PAY_XX PYX0114_TM_H_XX
174 59 23 N_PAY_XX PY_ABANCHK_H_XX
175 59 24 N_PAY_XX PY_CHECKFG_H_XX
176 59 25 N_PAY_XX PY_COMMENT_H_XX
177 60 0 PRCS_XX CDMAUTHIST_H_XX
178 60 1 PRCS_XX CDMLISTHIS_H_XX
179 60 2 PRCS_XX CDM_F_LTXX_H_XX
180 60 3 PRCS_XX PRCDISTHIS_H_XX
181 60 4 PRCS_XX PRCJOBSTAT_H_XX
182 60 5 PRCS_XX PRCPARMHIS_H_XX
183 60 6 PRCS_XX PRCQUEHIS_H_XX
184 60 7 PRCS_XX PRCRQSTFLE_H_XX
185 60 8 PRCS_XX PRCRQSTHIS_H_XX
186 60 9 PRCS_XX PRCRQSTSTR_H_XX
187 60 10 PRCS_XX PRCTXFRHIS_H_XX
188 60 11 PRCS_XX PRCTXTHIS_H_XX
189 61 0 PRJCSTNG PRJ_ACT_TM_H_XX
190 61 1 PRJCSTNG PRJ_TMACDT_H_XX
191 61 2 PRJCSTNG PRJ_TMSCHD_H_XX
192 61 3 PRJCSTNG PROJECT_H_XX
193 61 4 PRJCSTNG PROJ_ACTST_H_XX
194 61 5 PRJCSTNG PROJ_ACT_H_XX
195 61 6 PRJCSTNG PROJ_STAT_H_XX
196 61 7 PRJCSTNG PROJ_TEAM_H_XX
197 61 8 PRJCSTNG TL_RTS_ACT_H_XX
198 61 9 PRJCSTNG TL_RTS_PRJ_H_XX
199 61 10 PRJCSTNG TL_RTS_TRC_H_XX
200 62 0 PS56B_XX PERX0056B1_H_XX
201 63 0 PS56D_XX PERX0056D1_H_XX
202 64 0 PS56E_XX PERX0056E1_H_XX
203 65 0 PS56L_XX PERX0056L2_H_XX
204 66 0 PS56P_XX PERX0056P1_H_XX
205 67 0 PS56S_XX PERX0056S1_H_XX
206 68 0 PS5E2_XX PERX0056E2_H_XX
207 69 0 PS5E3_XX PERX0056E3_H_XX
208 70 0 PS61S_XX PERX0061ST_H_XX
209 71 0 PSBN5_XX BN55EMPSTG_H_XX
210 72 0 PSBNP_XX BN55PAYTM1_H_XX
211 73 0 PSCNC_XX CNCRSAETBL_H_XX
212 74 0 PSDAT_XX DATACHGFIL_H_XX
213 75 0 PSE48_XX PERX0048ER_H_XX
214 76 0 PSEMP_XX EMPLMT_WL_H_XX
215 77 0 PSHCS_XX HCSCUSTEPA_H_XX
216 78 0 PSHRU_XX HRUSRIDDUP_H_XX
217 79 0 PSJPM_XX JPMPROFILE_H_XX
218 80 0 PSP09_XX PERX0009_H_XX
219 81 0 PSP48_XX PERX0048ST_H_XX
220 82 0 PSP49_XX PERX0049TM_H_XX
221 83 0 PSP56_XX PERX0056ST_H_XX
222 84 0 PSPER_XX ADDL_PAY_DATA_H
223 84 1 PSPER_XX ADDRESSES_H_XX
224 84 2 PSPER_XX ADD_PAY_EFFDT_H
225 84 3 PSPER_XX ADD_PAY_ERNCD_H
226 84 4 PSPER_XX ADD_PY_DRW_H_XX
227 84 5 PSPER_XX BENF_PARTIC_HXX
228 84 6 PSPER_XX BEN_PRGPRTC_HXX
229 84 7 PSPER_XX BN_PERSON_H
230 84 8 PSPER_XX CAN_TAX_DATA_H
231 84 9 PSPER_XX CAN_TX_BALNCE_H
232 84 10 PSPER_XX CBR_PARTIC_H
233 84 11 PSPER_XX CBR_PRTC_OPTN_H
234 84 12 PSPER_XX CBR_PRTC_PLAN_H
235 84 13 PSPER_XX CITIZENPSS_H_XX
236 84 14 PSPER_XX CITIZENSHP_H_XX
237 84 15 PSPER_XX CN_TX_PRVDTA_H
238 84 16 PSPER_XX COMPNSTION_H_XX
239 84 17 PSPER_XX CONTRACTDA_H_XX
240 84 18 PSPER_XX DEPBENADDR_H_XX
241 84 19 PSPER_XX DEPBENEFNI_H_XX
242 84 20 PSPER_XX DEPBENNAME_H_XX
243 84 21 PSPER_XX DEPBENRIDE_H_XX
244 84 22 PSPER_XX DEPBEN_EFF_H_XX
245 84 23 PSPER_XX DEP_BEN_H_XX
